data_set_value_component_environment_variable_time,data_set_value_component_H1_variable_H1,data_set_value_component_H2_variable_H2,data_set_value_component_A_variable_A,data_set_value_component_A_variable_t_on,data_set_value_component_A_variable_t_off,data_set_value_component_A_variable_A_max,data_set_value_component_model_parameters_variable_beta_I,data_set_value_component_model_parameters_variable_beta_C,data_set_value_component_model_parameters_variable_alpha,data_set_value_component_model_parameters_variable_lamda,data_set_value_component_model_parameters_variable_tau_I,data_set_value_component_model_parameters_variable_tau_C,data_set_value_component_model_parameters_variable_tau_alpha,data_set_value_component_model_parameters_variable_tau_lamda
0.0,0.05,1.0,0.0,1316.0,1792.0,6.51,0.24579687253898772,0.029283784561045426,0.02674178937345468,0.028833077394340486,2.82,23.67,25.92,24.04
0.1,0.04878616968429449,0.9982879860845396,0.0,1316.0,1792.0,6.51,0.24579687253898772,0.029283784561045426,0.02674178937345468,0.028833077394340486,2.82,23.67,25.92,24.04
0.2,0.04760157387464325,0.9965517614537452,0.0,1316.0,1792.0,6.51,0.24579687253898772,0.029283784561045426,0.02674178937345468,0.028833077394340486,2.82,23.67,25.92,24.04
0.30000000000000004,0.046445718423369364,0.9947919160812381,0.0,1316.0,1792.0,6.51,0.24579687253898772,0.029283784561045426,0.02674178937345468,0.028833077394340486,2.82,23.67,25.92,24.04
0.4,0.04531787523739266,0.9930092502990296,0.0,1316.0,1792.0,6.51,0.24579687253898772,0.029283784561045426,0.02674178937345468,0.028833077394340486,2.82,23.67,25.92,24.04
0.5,0.04421744320157583,0.9912044235004208,0.0,1316.0,1792.0,6.51,0.24579687253898772,0.029283784561045426,0.02674178937345468,0.028833077394340486,2.82,23.67,25.92,24.04
0.6000000000000001,0.04314377486924278,0.9893781452869361,0.0,1316.0,1792.0,6.51,0.24579687253898772,0.029283784561045426,0.02674178937345468,0.028833077394340486,2.82,23.67,25.92,24.04
0.7000000000000001,0.04209621403721829,0.987531134267414,0.0,1316.0,1792.0,6.51,0.24579687253898772,0.029283784561045426,0.02674178937345468,0.028833077394340486,2.82,23.67,25.92,24.04
0.8,0.041074116705578576,0.9856640951315433,0.0,1316.0,1792.0,6.51,0.24579687253898772,0.029283784561045426,0.02674178937345468,0.028833077394340486,2.82,23.67,25.92,24.04
0.9,0.04007685768330245,0.9837777111516123,0.0,1316.0,1792.0,6.51,0.24579687253898772,0.029283784561045426,0.02674178937345468,0.028833077394340486,2.82,23.67,25.92,24.04
1.0,0.03910382117320278,0.981872655139925,0.0,1316.0,1792.0,6.51,0.24579687253898772,0.029283784561045426,0.02674178937345468,0.028833077394340486,2.82,23.67,25.92,24.04
